cell_line,plate,well,control,gene_symbol,score_area_mean,score_cell_n,score_k_corr_perc_mean,score_radial_dist_mean_mean,score_spots_number_mean,raw_repeat_1_area_mean,raw_repeat_1_cell_n,raw_repeat_1_k_corr_perc_mean,raw_repeat_1_radial_dist_mean_mean,raw_repeat_1_spots_number_mean,raw_repeat_2_area_mean,raw_repeat_2_cell_n,raw_repeat_2_k_corr_perc_mean,raw_repeat_2_radial_dist_mean_mean,raw_repeat_2_spots_number_mean,ratio_repeat_1_area_mean,ratio_repeat_1_cell_n,ratio_repeat_1_k_corr_perc_mean,ratio_repeat_1_radial_dist_mean_mean,ratio_repeat_1_spots_number_mean,ratio_repeat_2_area_mean,ratio_repeat_2_cell_n,ratio_repeat_2_k_corr_perc_mean,ratio_repeat_2_radial_dist_mean_mean,ratio_repeat_2_spots_number_mean,norm_repeat1_area_mean,norm_repeat1_cell_n,norm_repeat1_k_corr_perc_mean,norm_repeat1_radial_dist_mean_mean,norm_repeat1_spots_number_mean,norm_repeat2_area_mean,norm_repeat2_cell_n,norm_repeat2_k_corr_perc_mean,norm_repeat2_radial_dist_mean_mean,norm_repeat2_spots_number_mean,sd_cell_n,sd_k_area_mean,sd_k_corr_perc_mean,sd_radial_dist_mean_mean,sd_spots_number_mean
RPE1,2,L23,pos,NA,-0.45,-1.95,13.97,-9.83,-14.94,164.03011995541,215,69.5581395348837,0.493604252214377,21.9674418604651,167.272702527859,741,62.0445344129555,0.467102913189165,24.1309041835358,0.937,0.556,1.34,0.968,0.68,1.01,0.853,1.69,0.874,0.76,-1.28,-2.318,9.991,-2.663,-13.323,0.386,-1.586,17.956,-16.989,-16.56,0.5176021638285527,1.178039897456788,5.632105512150851,10.13001174727848,2.2889046507008532
RPE1,2,B23,pos,NA,0.97,-1.75,13.95,-10.95,-14.32,190.536317218116,238,72.0798319327731,0.470516105265731,23.1302521008403,167.13592924438,836,61.7464114832536,0.471162727375584,24.4521531100478,1.09,0.615,1.39,0.923,0.716,1.01,0.963,1.68,0.882,0.77,1.243,-2.493,10.875,-5.661,-11.795,0.687,-1.007,17.018,-16.238,-16.853,1.0507606768432096,0.3931513703397205,4.343756956828962,7.479068424610113,3.5765460992415585
RPE1,2,H23,pos,NA,1.36,-1.05,13.65,-13.06,-12.79,182.08261529232,345,71.8144927536232,0.447709073338794,23.4057971014493,173.26609167185,748,58.1717914438503,0.473037334265928,24.7566844919786,1.04,0.891,1.39,0.878,0.724,1.05,0.861,1.59,0.885,0.779,0.88,-0.535,11.867,-10.236,-10.954,1.847,-1.567,15.425,-15.886,-14.631,0.729734198184517,0.6837722574073914,2.515885927461736,3.9951533137039927,2.600031634422935
RPE1,3,J23,pos,NA,-0.03,-1.26,13.34,-11.3,-13.64,177.468619961478,325,70.9369230769231,0.452765059899263,24.2861538461538,170.294930584014,618,63.8033980582524,0.46600874697361,22.9012944983819,0.997,0.843,1.35,0.888,0.744,1,0.796,1.71,0.874,0.73,-0.172,-0.894,9.104,-7.732,-10.556,0.114,-1.63,17.571,-14.868,-16.734,0.5204305909532989,0.2022325394193526,5.9870731163065,5.045913990547203,4.3685056941704925
RPE1,2,J23,pos,NA,-2.21,-2.19,13.03,-8.1,-15.25,147.873627797026,157,70.7898089171974,0.493812095039746,21.1528662420382,163.855000306143,721,59.5506241331484,0.480907886006439,23.9528432732316,0.844,0.406,1.37,0.968,0.654,0.989,0.83,1.62,0.9,0.754,-4.115,-2.966,10.575,-2.602,-13.885,-0.296,-1.409,15.482,-13.6,-16.615,1.1009652583074545,2.7004407973514253,3.4697729752823885,7.77676037948965,1.9304015126392737
RPE1,3,L23,pos,NA,-0.64,-0.57,12.78,-11.22,-12.48,167.7623622183,233,72.7961373390558,0.461295415922118,23.4592274678112,166.78735815336,792,61.3869949494949,0.464728692773737,23.9191919191919,0.943,0.604,1.39,0.905,0.718,0.984,1.02,1.64,0.872,0.762,-0.663,-1.258,9.415,-6.832,-10.629,-0.614,0.121,16.135,-15.602,-14.339,0.975100251256249,0.03464823227814086,4.751757569573601,6.2013264710060225,2.6233661582020917
RPE1,3,N23,pos,NA,-0.49,-0.96,12.41,-11.78,-12.77,170.818114129437,328,71.2545731707317,0.443201451450192,23.7896341463415,172.015747500448,635,62.9031496062992,0.467862026229526,23.6377952755906,0.96,0.851,1.36,0.869,0.729,1.01,0.818,1.68,0.878,0.753,-1.009,-0.686,8.587,-9.245,-10.685,0.022,-1.225,16.226,-14.322,-14.85,0.3811305550595491,0.7290270914033304,5.4015887014840365,3.5899811280841014,2.94509974364197
RPE1,2,N23,pos,NA,-0.21,-1.35,12.25,-8.36,-13.45,169.672025016496,184,69.4103260869565,0.487001601901216,22.9130434782609,166.275323252009,791,57.8830594184576,0.482552476607353,24.441213653603,0.969,0.475,1.34,0.955,0.709,1,0.911,1.58,0.903,0.769,-0.721,-2.022,9.802,-3.811,-11.39,0.297,-0.679,14.702,-12.909,-15.505,0.9496444071335332,0.7198347032479054,3.464823227814083,6.43325749523521,2.9097444045826433
RPE1,2,D23,pos,NA,-1.98,-1.79,12.22,-8.87,-14.58,160.170258163523,213,67.3826291079812,0.476291624341554,21.5492957746479,160.648300772224,769,57.3725617685306,0.487954318963509,24.4239271781534,0.914,0.55,1.3,0.934,0.667,0.97,0.885,1.56,0.913,0.769,-2.742,-1.859,9.478,-5.264,-13.472,-1.22,-1.725,14.953,-12.475,-15.688,0.0947523086789973,1.0762165209659253,3.8714096269963476,5.098946999136194,1.56694862710939
RPE1,3,B23,pos,NA,0.61,-0.34,12.1,-11.89,-14.83,177.949273457728,403,70.302729528536,0.445234437242948,24.5285359801489,175.019319952326,697,63.8923959827834,0.46421333822475,21.1391678622669,1,1.05,1.34,0.873,0.751,1.03,0.898,1.71,0.871,0.674,-0.095,0.218,8.004,-8.605,-10.214,1.318,-0.904,16.188,-15.171,-19.44,0.7933738084913063,0.9991418818165917,5.786961897230705,4.64286312527087,6.523767163227088
