cell_line,plate,well,control,gene_symbol,score_area_mean,score_cell_n,score_k_corr_perc_mean,score_radial_dist_mean_mean,score_spots_number_mean,raw_repeat_1_area_mean,raw_repeat_1_cell_n,raw_repeat_1_k_corr_perc_mean,raw_repeat_1_radial_dist_mean_mean,raw_repeat_1_spots_number_mean,raw_repeat_2_area_mean,raw_repeat_2_cell_n,raw_repeat_2_k_corr_perc_mean,raw_repeat_2_radial_dist_mean_mean,raw_repeat_2_spots_number_mean,ratio_repeat_1_area_mean,ratio_repeat_1_cell_n,ratio_repeat_1_k_corr_perc_mean,ratio_repeat_1_radial_dist_mean_mean,ratio_repeat_1_spots_number_mean,ratio_repeat_2_area_mean,ratio_repeat_2_cell_n,ratio_repeat_2_k_corr_perc_mean,ratio_repeat_2_radial_dist_mean_mean,ratio_repeat_2_spots_number_mean,norm_repeat1_area_mean,norm_repeat1_cell_n,norm_repeat1_k_corr_perc_mean,norm_repeat1_radial_dist_mean_mean,norm_repeat1_spots_number_mean,norm_repeat2_area_mean,norm_repeat2_cell_n,norm_repeat2_k_corr_perc_mean,norm_repeat2_radial_dist_mean_mean,norm_repeat2_spots_number_mean,sd_cell_n,sd_k_area_mean,sd_k_corr_perc_mean,sd_radial_dist_mean_mean,sd_spots_number_mean
HCT116,3,B23,pos,NA,-0.7,1.14,15.9,-13.26,-8.55,120.759930884686,952,75.4206932773109,0.455321576738159,24.5294117647059,120.340416941698,964,77.5093360995851,0.436558316314491,24.4429460580913,0.968,1.22,1.32,0.868,0.68,0.984,1.09,1.3,0.866,0.74,-0.836,1.742,14.025,-11.758,-7.162,-0.57,0.533,17.765,-14.755,-9.942,0.854892098454536,0.18809040379562167,2.644579361637688,2.1191990232160842,1.9657568516986024
HCT116,3,N23,pos,NA,-1.54,0.47,15.63,-14.43,-10.27,118.26886560444,750,75.5846666666667,0.450617332570246,23.472,118.729075317386,1082,75.1728280961183,0.435740722948827,24.7486136783734,0.948,0.961,1.33,0.859,0.65,0.971,1.23,1.26,0.864,0.749,-1.509,-0.167,15.732,-13.915,-10.844,-1.575,1.115,15.531,-14.95,-9.688,0.9065108934811539,0.04666904755831218,0.14212846301849516,0.7318555185280768,0.8174154390516482
HCT116,2,N23,pos,NA,-0.43,0.61,15.6,-12.72,-8.7,122.607204316626,1012,75.8117588932806,0.443813878372861,25.2994071146245,118.138296712613,838,76.8961813842482,0.443460900615932,25,1,1.26,1.32,0.851,0.708,0.974,1.05,1.3,0.878,0.766,0.096,1.713,14.16,-13.816,-8.722,-0.963,-0.488,17.033,-11.621,-8.688,1.5563420253915912,0.7488260812765538,2.031517782348952,1.552099384704472,0.024041630560341854
HCT116,3,D23,pos,NA,-1,1.58,15.51,-12.32,-8.36,122.731827586878,870,76.4241379310345,0.453176217197044,24.7034482758621,118.011282919268,1058,75.0921550094518,0.453070576975616,24.9659735349716,0.984,1.11,1.34,0.864,0.684,0.965,1.2,1.26,0.899,0.756,-0.434,0.957,15.54,-12.959,-8.047,-1.567,2.208,15.488,-11.685,-8.674,0.8845905832643711,0.8011519830843583,0.03676955262170019,0.900854039231661,0.44335595180396453
HCT116,2,D23,pos,NA,0.14,0.5,15.38,-11.85,-7.89,120.218761193126,832,75.6760817307692,0.455292699226441,24.5252403846154,123.978174950819,862,76.6508120649652,0.438159963836088,25.3805104408353,0.98,1.03,1.32,0.873,0.686,1.02,1.08,1.29,0.867,0.778,-0.592,-0.21,13.341,-10.926,-8.084,0.877,1.214,17.415,-12.773,-7.7,1.0069200564096437,1.0387398615630383,2.8807530265539945,1.3060262248515528,0.27152900397563384
HCT116,3,F23,pos,NA,-0.09,-0.56,15.3,-13,-8.43,123.05999795377,742,75.2385444743935,0.463578583058308,24.1469002695418,124.191543113555,807,76.2602230483271,0.432930475851125,25.7955390334572,0.987,0.951,1.32,0.884,0.669,1.02,0.916,1.28,0.859,0.781,-1.079,-0.145,14.185,-10.232,-8.951,0.897,-0.98,16.411,-15.777,-7.918,0.5904341622907672,1.3972429996246178,1.5740196949212553,3.920907101679406,0.7304413049657039
HCT116,2,J23,pos,NA,-1.2,-0.3,15.28,-11.74,-9.63,119.052618792121,755,74.0761589403973,0.464749959951142,25.046357615894,117.371090449208,923,78.8087757313109,0.435189615344222,24.056338028169,0.971,0.937,1.29,0.891,0.701,0.968,1.16,1.33,0.861,0.737,-1.331,-0.937,12.081,-10.064,-9.966,-1.072,0.331,18.488,-13.41,-9.302,0.8966113985445423,0.18314065632731574,4.53043314706221,2.365979289850188,0.46951890270786734
HCT116,2,H23,pos,NA,0.59,0.16,15.14,-12.91,-8.51,119.071612697098,819,73.5909645909646,0.454049396789529,25.3663003663004,126.954614573716,882,76.9518140589569,0.434476149124801,24.3820861678005,0.971,1.02,1.28,0.871,0.71,1.05,1.11,1.3,0.86,0.747,-1.021,-0.235,12.177,-11.962,-8.451,2.207,0.555,18.101,-13.85,-8.578,0.5586143571373726,2.282540689670175,4.188900571749107,1.3350176028802017,0.08980256121069076
HCT116,4,N23,pos,NA,-0.31,-0.34,15.1,-10.33,-10.15,122.788724968773,872,75.5665137614679,0.450783124142314,24.8738532110092,118.57093761095,832,77.4939903846154,0.444551715121624,25.1382211538462,0.985,1.12,1.31,0.869,0.739,0.975,0.884,1.32,0.876,0.763,-0.415,0.393,14.95,-11.16,-9.303,-0.196,-1.083,15.244,-9.496,-11.001,1.0436896090313441,0.1548563850798539,0.20788939366884532,1.176625683894415,1.2006673144547566
HCT116,3,J23,pos,NA,-0.47,0.85,15.04,-11.55,-8.37,121.184936736893,942,74.1852441613588,0.464961429846107,25.3269639065817,123.56052352505,920,76.6445652173913,0.445055821500601,25.6554347826087,0.972,1.21,1.3,0.886,0.702,1.01,1.04,1.28,0.883,0.777,-1.213,1.696,13.191,-10.513,-7.653,0.283,-0.004,16.886,-12.592,-9.089,1.2020815280171306,1.0578317446550751,2.612759556484292,1.4700749980868328,1.015405337783883
HCT116,3,M09,sample,NCAPD3,0.57,0.08,14.96,-12.33,-8.9,125.267957770139,751,70.0785619174434,0.480536683118383,29.4860186418109,123.08960791131,1051,78.8739295908658,0.431172007986443,23.6898192197907,1,0.962,1.23,0.916,0.817,1.01,1.19,1.32,0.855,0.717,0.129,-0.243,11.006,-8.682,-6.943,1.019,0.406,18.915,-15.979,-10.865,0.45891230099006936,0.6293250352560272,5.592507532404404,5.159758182318237,2.77327279581364
HCT116,2,B23,pos,NA,-1.45,0.8,14.89,-11.87,-8.02,113.922246905341,966,75.8198757763975,0.452434551409478,23.027950310559,122.254369895157,946,76.7928118393235,0.442398274396302,25.5412262156448,0.929,1.2,1.32,0.868,0.644,1.01,1.19,1.29,0.876,0.783,-2.935,0.521,12.71,-11.34,-8.05,0.03,1.076,17.073,-12.404,-7.992,0.3924442635585339,2.0965716062181134,3.085106886316906,0.7523616151824867,0.04101219330882026
