plate,well,control,gene_symbol,score_area_mean_HCT116,score_area_mean_RPE1,score_cell_n_HCT116,score_cell_n_RPE1,score_k_corr_perc_mean_HCT116,score_k_corr_perc_mean_RPE1,score_radial_dist_mean_mean_HCT116,score_radial_dist_mean_mean_RPE1,score_spots_number_mean_HCT116,score_spots_number_mean_RPE1,raw_repeat_1_area_mean_HCT116,raw_repeat_1_area_mean_RPE1,raw_repeat_1_cell_n_HCT116,raw_repeat_1_cell_n_RPE1,raw_repeat_1_k_corr_perc_mean_HCT116,raw_repeat_1_k_corr_perc_mean_RPE1,raw_repeat_1_radial_dist_mean_mean_HCT116,raw_repeat_1_radial_dist_mean_mean_RPE1,raw_repeat_1_spots_number_mean_HCT116,raw_repeat_1_spots_number_mean_RPE1,raw_repeat_2_area_mean_HCT116,raw_repeat_2_area_mean_RPE1,raw_repeat_2_cell_n_HCT116,raw_repeat_2_cell_n_RPE1,raw_repeat_2_k_corr_perc_mean_HCT116,raw_repeat_2_k_corr_perc_mean_RPE1,raw_repeat_2_radial_dist_mean_mean_HCT116,raw_repeat_2_radial_dist_mean_mean_RPE1,raw_repeat_2_spots_number_mean_HCT116,raw_repeat_2_spots_number_mean_RPE1,ratio_repeat_1_area_mean_HCT116,ratio_repeat_1_area_mean_RPE1,ratio_repeat_1_cell_n_HCT116,ratio_repeat_1_cell_n_RPE1,ratio_repeat_1_k_corr_perc_mean_HCT116,ratio_repeat_1_k_corr_perc_mean_RPE1,ratio_repeat_1_radial_dist_mean_mean_HCT116,ratio_repeat_1_radial_dist_mean_mean_RPE1,ratio_repeat_1_spots_number_mean_HCT116,ratio_repeat_1_spots_number_mean_RPE1,ratio_repeat_2_area_mean_HCT116,ratio_repeat_2_area_mean_RPE1,ratio_repeat_2_cell_n_HCT116,ratio_repeat_2_cell_n_RPE1,ratio_repeat_2_k_corr_perc_mean_HCT116,ratio_repeat_2_k_corr_perc_mean_RPE1,ratio_repeat_2_radial_dist_mean_mean_HCT116,ratio_repeat_2_radial_dist_mean_mean_RPE1,ratio_repeat_2_spots_number_mean_HCT116,ratio_repeat_2_spots_number_mean_RPE1,norm_repeat1_area_mean_HCT116,norm_repeat1_area_mean_RPE1,norm_repeat1_cell_n_HCT116,norm_repeat1_cell_n_RPE1,norm_repeat1_k_corr_perc_mean_HCT116,norm_repeat1_k_corr_perc_mean_RPE1,norm_repeat1_radial_dist_mean_mean_HCT116,norm_repeat1_radial_dist_mean_mean_RPE1,norm_repeat1_spots_number_mean_HCT116,norm_repeat1_spots_number_mean_RPE1,norm_repeat2_area_mean_HCT116,norm_repeat2_area_mean_RPE1,norm_repeat2_cell_n_HCT116,norm_repeat2_cell_n_RPE1,norm_repeat2_k_corr_perc_mean_HCT116,norm_repeat2_k_corr_perc_mean_RPE1,norm_repeat2_radial_dist_mean_mean_HCT116,norm_repeat2_radial_dist_mean_mean_RPE1,norm_repeat2_spots_number_mean_HCT116,norm_repeat2_spots_number_mean_RPE1,sd_cell_n_HCT116,sd_cell_n_RPE1,sd_k_area_mean_HCT116,sd_k_area_mean_RPE1,sd_k_corr_perc_mean_HCT116,sd_k_corr_perc_mean_RPE1,sd_radial_dist_mean_mean_HCT116,sd_radial_dist_mean_mean_RPE1,sd_spots_number_mean_HCT116,sd_spots_number_mean_RPE1
3,F12,sample,DDB1,8.35,2.25,-1.6,-0.01,1.79,2.71,0.72,-1.31,-1.23,-2.86,151.402878381236,212.592570607195,505,340,60.7475247524753,57.8441176470588,0.522350142064722,0.503063597364636,32.7287128712871,29.2029411764706,150.729661999743,173.894327339848,741,822,62.0728744939271,40.3497566909976,0.507605076406041,0.53031020189462,31.8650472334683,29.514598540146,1.21,1.19,0.647,0.882,1.07,1.1,0.996,0.986,0.907,0.894,1.23,1.03,0.841,1.06,1.04,1.08,1.01,0.995,0.964,0.94,7.589,3.925,-1.445,-0.202,2.179,2.783,1.001,-1.182,-2.266,-3.724,9.108,0.573,-1.757,0.18,1.409,2.641,0.436,-1.445,-0.2,-2,0.2206173157302027,0.27011479041326114,1.0740952006223656,2.370221930537307,0.5444722215136414,0.10040916292848968,0.3995153313703993,0.1859690834520621,1.4608826099314072,1.2190520907656082
1,G05,sample,RAD51,6.33,7.43,-0.6,-1.63,1.71,0.73,1.33,2.28,-3.45,-5.41,149.217681701502,244.300396094803,486,143,61.9845679012346,52.2062937062937,0.524721126055948,0.552099494727814,29.0761316872428,24.7762237762238,148.572120883478,211.057953594287,344,472,63.5116279069767,43.6016949152542,0.508008227517737,0.541196063677304,26.7674418604651,28.7266949152542,1.22,1.35,0.583,0.413,1.05,0.982,1.03,1.08,0.884,0.77,1.3,1.25,0.989,0.572,1.08,1.18,1.01,1.01,0.86,0.91,7.381,7.218,-2.25,-0.588,2.038,-1.055,2.402,3.921,-4.429,-6.192,5.273,7.633,1.059,-2.673,1.388,2.508,0.25,0.63,-2.473,-4.628,2.3398163389462856,1.4743176387739516,1.4905810947412426,0.2934493141924172,0.4596194077712558,2.519421461367669,1.5216937931134504,2.3270884168849277,1.3831008640008873,1.1059150057757603
1,F20,sample,HUWE1,0.19,-0.23,1.98,-0.3,1.56,1.21,-0.82,-1.73,-2.56,-2.25,122.642843504608,175.068908083346,1064,333,62.6813909774436,57.042042042042,0.494052250567909,0.499876399738138,29.3515037593985,29.4654654654655,122.02993878695,168.499002090627,695,780,62.0093525179856,39.6371794871795,0.495300691966429,0.524007394724079,29.5812949640288,29.7102564102564,1,0.969,1.28,0.962,1.06,1.07,0.966,0.981,0.892,0.916,1.07,0.997,2,0.945,1.05,1.07,0.986,0.977,0.951,0.941,0.111,-0.564,2.442,-0.475,2.559,2.196,-1.637,-0.877,-3.323,-2.043,0.262,0.094,1.521,-0.131,0.552,0.232,0.003,-2.577,-1.804,-2.467,0.6512453454728104,0.24324473272817232,0.10677312395916869,0.46527626202074823,1.419163309841401,1.3887577182503794,1.1596551211459378,1.2020815280171306,1.0740952006223656,0.2998132752230961
1,D16,sample,WBP2,0.29,3.16,0.88,-1.55,1.32,-0.9,-0.86,2.11,0.5,-1.63,129.108745609417,218.166663038355,967,164,60.9012409513961,49.4481707317073,0.501479362511366,0.543692059212905,33.722854188211,29.0365853658537,113.844903253202,183.991240865006,291,641,59.8127147766323,37.4305772230889,0.505785124333628,0.538390742943263,30.7903780068729,30.798751950078,1.05,1.21,1.16,0.474,1.03,0.93,0.98,1.07,1.03,0.902,0.995,1.09,0.836,0.776,1.01,1.01,1.01,1,0.989,0.976,0.578,3.812,1.768,-1.557,1.126,-1.815,-1.978,3.248,0.993,-2.195,0,2.508,0,-1.535,1.505,0.02,0.266,0.98,0,-1.071,1.250164789137816,0.01555634918610406,0.4087077195258244,0.9220672426672578,0.2679934700697015,1.2975409434773146,1.586747616982613,1.60371817973109,0.7021570337182417,0.7947880220536794
2,E04,sample,MBD4,0.94,3.55,0.3,-1.85,1.28,-1.25,-0.1,-0.71,0.3,-3.15,127.94784065312,212.553679987387,709,208,60.6939351198872,46.0625,0.516921716717141,0.504576309036412,33.7320169252468,27.2211538461538,121.41942482099,179.932638791713,703,597,60.300853485064,36.893634840871,0.511523691699757,0.532004553712693,32.2702702702703,31.4907872696817,1.04,1.21,0.88,0.537,1.06,0.89,0.991,0.989,0.944,0.842,1,1.09,0.883,0.687,1.02,1.01,1.01,0.996,0.989,0.991,1.903,4.716,0.237,-1.588,1.8,-2.643,-0.349,-1.068,0.355,-5.797,-0.022,2.392,0.373,-2.119,0.751,0.139,0.143,-0.358,0.244,-0.499,0.09616652224137048,0.3754737008100568,1.361180553784104,1.6433161594775367,0.7417550134646884,1.967171065260975,0.34789653634378137,0.5020458146424488,0.07848885271170676,3.746251726726328
1,M06,sample,NDC1,0.12,0.79,-0.44,0,1.15,0.7,-0.16,-0.8,-1.14,-3.74,123.597223782198,190.561442752042,789,326,61.308618504436,55.1579754601227,0.510877968614327,0.507464224231988,32.7782002534854,28.7484662576687,118.466008814565,169.166974734127,225,865,60.7511111111111,38.7947976878613,0.497822342982339,0.52987228613924,31.5644444444444,28.9202312138728,1.01,1.05,0.946,0.942,1.04,1.04,0.998,0.995,0.997,0.893,1.04,1,0.647,1.05,1.03,1.05,0.991,0.988,1.01,0.916,-0.436,1.161,-0.258,-0.258,1.485,0.379,0.004,-0.293,-2.21,-2.868,0.674,0.429,-0.62,0.26,0.824,1.016,-0.322,-1.3,-0.063,-4.609,0.2559726547895302,0.3662813126546316,0.7848885271170678,0.5176021638285528,0.467397582364308,0.4504270196158307,0.2305168106668145,0.7120565286548535,1.5181582592075176,1.2310729060457792
1,I11,sample,MRGBP,1.16,2.98,0.21,-1.42,1.1,-0.43,0.27,-0.48,-0.64,-1.29,131.408640793893,207.852604250735,763,179,59.7038007863696,47,0.517086387232597,0.544657083213063,32.539973787680204,29.1731843575419,126.017863587249,187.240469902823,469,554,60.3933901918977,38.6805054151625,0.519185041766362,0.531234394407286,31.3582089552239,30.6895306859206,1.07,1.15,0.915,0.517,1.01,0.884,1.01,1.07,0.989,0.907,1.1,1.11,1.35,0.671,1.02,1.04,1.03,0.99,1.01,0.972,1.674,2.41,-0.056,-0.618,0.798,-2.742,0.066,1.616,-0.933,-2.148,0.645,3.546,0.486,-2.221,1.403,1.874,0.476,-2.573,-0.343,-0.438,0.38325187540310873,1.1334921702420355,0.7276128778409574,0.8032733034279177,0.42779960261786126,3.2640049019571036,0.28991378028648446,2.962070306390447,0.41719300090006306,1.2091525958289964
3,M04,sample,JMJD1C,2.77,1.6,-0.12,-1.92,1.02,2.01,-0.8,-0.95,0.19,-1.26,129.360978863846,194.028208567395,761,274,57.8547963206307,56.4616788321168,0.521052682482018,0.506118027593837,36.7319316688568,33.7262773722628,128.28920964557,169.329579114529,987,668,60.46757852077,41.75,0.50157439767789,0.513687616173432,34.1236068895643,30.6841317365269,1.04,1.09,0.975,0.711,1.01,1.08,0.993,0.992,1.02,1.03,1.05,0.999,1.12,0.861,1.01,1.12,0.995,0.964,1.03,0.978,2.105,2.151,0.048,-1.798,1.346,1.256,-1.087,0.452,-0.389,0.175,3.434,1.044,-0.284,-2.052,0.696,2.771,-0.513,-2.343,0.763,-2.704,0.23475945135393375,0.17960512242138307,0.9397449121969218,0.782767206773508,0.459619407771256,1.0712667734976196,0.40587929240107823,1.9763634534164003,0.8145870119269027,2.0357604230360704
2,D12,sample,TSPY3,-0.15,-3.12,0.7,3.79,1,-2.37,-0.57,-2.61,-0.66,-1.3,118.993064814948,160.820172378355,1272,808,58.4500786163522,44.6652227722772,0.511292383044191,0.515602036183402,32.4166666666667,32.8081683168317,122.950195958019,154.206414137,620,1152,59.666935483871,32.4965277777778,0.505619484266629,0.517730466374264,33.3403225806452,30.6258680555556,0.97,0.918,1.58,2.09,1.02,0.863,0.98,1.01,0.907,1.02,1.01,0.931,0.778,1.33,1.01,0.886,1,0.969,1.02,0.964,-0.841,-3.367,2.43,4.786,0.613,-3.214,-0.983,0.263,-2.02,-0.01,0.551,-2.869,-1.031,2.798,1.391,-1.53,-0.153,-5.488,0.709,-2.591,2.447296569686641,1.4057282809988565,0.9842926394116742,0.35213917703090053,0.550129075763134,1.190767819518146,0.5868986283848344,4.066571098603835,1.929694405858088,1.8250426022424793
4,K03,sample,HMGXB4,0.46,2.85,-0.61,-1.23,0.97,0.75,-0.42,0.53,-0.51,-1.2,124.18535278705,190.423645049874,747,225,60.0401606425703,53.96,0.517579006423851,0.524722377313888,33.3226238286479,31.9066666666667,122.836483589778,191.236275136971,691,562,61.2923299565847,39.1628113879004,0.494488426289401,0.534997728344811,31.8451519536903,30.0960854092527,0.996,1.14,0.956,0.962,1.04,1.01,0.998,1.02,0.99,1.01,1.01,1.12,0.734,0.736,1.04,1.03,0.975,1.01,0.967,0.95,0,2.524,-1.059,-0.979,0.498,0.064,0.364,1.062,-0.538,-0.222,0.918,3.174,-0.167,-1.483,1.451,1.427,-1.205,0,-0.483,-2.181,0.6307392488184004,0.35638181771802,0.6491240251292506,0.4596194077712558,0.6738727624707799,0.9637865427572644,1.1094505396816932,0.7509474016201135,0.03889087296526015,1.3852221843444468
3,H06,sample,CENPQ,0.27,-0.44,-1.22,0.92,0.95,0.34,-0.58,-1.17,-2.97,-1.04,129.636019969419,179.185578534464,734,500,59.6648501362398,50.617,0.522038089701558,0.500930938659726,32.9877384196185,31.42,117.526066707538,168.384689475736,700,850,59.6978571428571,36.9064705882353,0.506086463471595,0.534382966960763,29.4528571428571,29.8976470588235,1.04,1.01,0.94,1.3,1.05,0.966,0.995,0.982,0.914,0.962,0.961,0.993,0.795,1.1,1,0.988,1,1,0.891,0.953,1.884,-0.138,-0.089,0.711,2.298,0,-1.132,-1.325,-2.122,-0.67,-1.339,-0.752,-2.341,1.122,-0.395,0.687,-0.033,-1.009,-3.827,-1.41,1.5924044712321053,0.29062088706767114,2.2790051557642426,0.4341635636485402,1.9042385617353723,0.4857823586751582,0.7771103525240156,0.22344574285494903,1.2056170619230635,0.5232590180780451
2,M15,sample,CENPB,0.69,0.49,1.13,-0.63,0.93,0.53,-0.55,-0.97,1.68,6.04,127.159941246996,181.115524331309,924,330,59.142316017316,52.1757575757576,0.51333704972291,0.505525726050377,38.3225108225108,36.2,123.131848519236,171.778983904594,800,782,60.093125,37.2819693094629,0.506249484136082,0.526602534962446,36.09375,35.8567774936061,1.04,1.03,1.15,0.853,1.03,1.01,0.984,0.991,1.07,1.12,1.02,1.04,1,0.9,1.01,1.02,1,0.986,1.11,1.13,0.859,0.35,1.675,-0.99,1.478,0.596,-1.253,-0.362,0.007,4.441,0.518,0.631,0.594,-0.268,0.385,0.462,0.155,-1.579,3.346,7.642,0.764382430462658,0.5105310960166873,0.24112341238461268,0.19869700551341987,0.7728677118368964,0.09475230867899734,0.9956063479106588,0.8605489527040283,2.3610295423818823,2.2634488065781393
1,K08,sample,HIST1H4E,0.28,1,0.33,-1.09,0.9,0.34,-0.67,0.14,-3.54,0.1,125.585333679035,190.318331677744,747,307,60.8380187416332,51.3550488599349,0.504850481783652,0.520055675746329,30.7831325301205,32.0195439739414,108.369985744562,174.551878147615,348,738,60.9152298850575,37.9586720867209,0.496803293412562,0.536269890681288,24.7672413793103,31.2940379403794,1.02,1.05,0.896,0.887,1.03,0.966,0.987,1.02,0.936,0.995,0.947,1.03,1,0.894,1.03,1.02,0.989,1,0.796,0.992,0.824,0.71,-0.207,-1.066,1.101,-0.032,-0.882,1.265,-2.089,0.148,-0.257,1.288,0.858,-1.122,0.693,0.711,-0.462,-0.992,-4.99,0.054,0.7530687219636731,0.03959797974644669,0.7643824304626579,0.4087077195258245,0.2884995667241114,0.5253803384216048,0.29698484809834996,1.5959400051380377,2.0513167722221746,0.06646803743153547
