plate,well,control,gene_symbol,nuclear_segmentation,category,label,score_k_corr_perc_mean_HCT116,score_k_corr_perc_mean_RPE1,score_spots_number_mean_HCT116,score_spots_number_mean_RPE1,score_area_mean_HCT116,score_area_mean_RPE1,score_cell_n_HCT116,score_cell_n_RPE1,score_radial_dist_mean_mean_HCT116,score_radial_dist_mean_mean_RPE1,raw_repeat_1_area_mean_HCT116,raw_repeat_1_area_mean_RPE1,raw_repeat_1_cell_n_HCT116,raw_repeat_1_cell_n_RPE1,raw_repeat_1_k_corr_perc_mean_HCT116,raw_repeat_1_k_corr_perc_mean_RPE1,raw_repeat_1_radial_dist_mean_mean_HCT116,raw_repeat_1_radial_dist_mean_mean_RPE1,raw_repeat_1_spots_number_mean_HCT116,raw_repeat_1_spots_number_mean_RPE1,raw_repeat_2_area_mean_HCT116,raw_repeat_2_area_mean_RPE1,raw_repeat_2_cell_n_HCT116,raw_repeat_2_cell_n_RPE1,raw_repeat_2_k_corr_perc_mean_HCT116,raw_repeat_2_k_corr_perc_mean_RPE1,raw_repeat_2_radial_dist_mean_mean_HCT116,raw_repeat_2_radial_dist_mean_mean_RPE1,raw_repeat_2_spots_number_mean_HCT116,raw_repeat_2_spots_number_mean_RPE1,ratio_repeat_1_area_mean_HCT116,ratio_repeat_1_area_mean_RPE1,ratio_repeat_1_cell_n_HCT116,ratio_repeat_1_cell_n_RPE1,ratio_repeat_1_k_corr_perc_mean_HCT116,ratio_repeat_1_k_corr_perc_mean_RPE1,ratio_repeat_1_radial_dist_mean_mean_HCT116,ratio_repeat_1_radial_dist_mean_mean_RPE1,ratio_repeat_1_spots_number_mean_HCT116,ratio_repeat_1_spots_number_mean_RPE1,ratio_repeat_2_area_mean_HCT116,ratio_repeat_2_area_mean_RPE1,ratio_repeat_2_cell_n_HCT116,ratio_repeat_2_cell_n_RPE1,ratio_repeat_2_k_corr_perc_mean_HCT116,ratio_repeat_2_k_corr_perc_mean_RPE1,ratio_repeat_2_radial_dist_mean_mean_HCT116,ratio_repeat_2_radial_dist_mean_mean_RPE1,ratio_repeat_2_spots_number_mean_HCT116,ratio_repeat_2_spots_number_mean_RPE1,norm_repeat1_area_mean_HCT116,norm_repeat1_area_mean_RPE1,norm_repeat1_cell_n_HCT116,norm_repeat1_cell_n_RPE1,norm_repeat1_k_corr_perc_mean_HCT116,norm_repeat1_k_corr_perc_mean_RPE1,norm_repeat1_radial_dist_mean_mean_HCT116,norm_repeat1_radial_dist_mean_mean_RPE1,norm_repeat1_spots_number_mean_HCT116,norm_repeat1_spots_number_mean_RPE1,norm_repeat2_area_mean_HCT116,norm_repeat2_area_mean_RPE1,norm_repeat2_cell_n_HCT116,norm_repeat2_cell_n_RPE1,norm_repeat2_k_corr_perc_mean_HCT116,norm_repeat2_k_corr_perc_mean_RPE1,norm_repeat2_radial_dist_mean_mean_HCT116,norm_repeat2_radial_dist_mean_mean_RPE1,norm_repeat2_spots_number_mean_HCT116,norm_repeat2_spots_number_mean_RPE1,sd_cell_n_HCT116,sd_cell_n_RPE1,sd_k_area_mean_HCT116,sd_k_area_mean_RPE1,sd_k_corr_perc_mean_HCT116,sd_k_corr_perc_mean_RPE1,sd_radial_dist_mean_mean_HCT116,sd_radial_dist_mean_mean_RPE1,sd_spots_number_mean_HCT116,sd_spots_number_mean_RPE1
4,J15,sample,SENP6,correct,Kinetochore,yes,-2.55,3.35,2.25,-7.02,1.48,2.35,0.18,-0.22,2,-3.62,130.2723945,199.7039731,582,210,50.86683849,58.21904762,0.544935428,0.483229186,38.89690722,22.96190476,128.3990888,185.7574548,1004,609,58.65587649,49.47536946,0.511126841,0.502562861,33.25996016,25.34154351,1.04,1.2,0.745,0.897,0.88,1.09,1.05,0.938,1.16,0.724,1.06,1.09,1.07,0.797,0.996,1.31,1.01,0.945,1.01,0.8,1.637,2.762,-0.447,-0.128,-4.565,1.706,3.843,-2.779,3.309,-6.27,1.332,1.944,0.8,-0.315,-0.531,4.984,0.152,-4.452,1.182,-7.777,0.8817621561396248,0.1322289680818844,0.21566756826189695,0.5784133470105959,2.852468755306533,2.317896028729503,2.609931129359547,1.182989644925094,1.5040161235837868,1.0656099192481276
4,I13,sample,SPC24,correct,Kinetochore,yes,-18.18,-2.83,-0.89,1.65,-4.37,0.14,-1.47,0.27,11.05,1.82,104.5585836,162.0421991,472,199,33.82627119,46.80150754,0.596722563,0.544412149,32.58686441,32.01507538,107.4445717,174.0819811,602,663,34.35797342,33.46229261,0.589357785,0.538015587,33.27906977,33.26696833,0.839,0.973,0.604,0.85,0.585,0.878,1.15,1.06,0.968,1.01,0.884,1.02,0.64,0.868,0.583,0.884,1.16,1.01,1.01,1.05,-5.186,0.288,-1.608,0.53,-17.266,-1.871,10.835,1.637,-1.773,0.792,-3.551,0,-1.341,0.009,-19.097,-3.791,11.258,1.998,0,2.515,0.1887975105768083,0.3684026329981913,1.1561195872400052,0.2036467529817257,1.2947125163525708,1.357645019878171,0.2991061684419084,0.25526554800834367,1.253700323043749,1.2183449839844216
4,J13,sample,SPC25,correct,Kinetochore,yes,-14.35,-2.65,-1.67,0.64,-3.08,-0.36,-0.01,0.64,10.04,3.26,116.2094947,155.5878494,640,210,39.04453125,46.48095238,0.595494706,0.542528122,33.5578125,31.06666667,103.9178834,172.759542,732,732,38.46516393,35.44398907,0.582101441,0.546106324,30.18579235,32.28961749,0.932,0.934,0.819,0.897,0.675,0.872,1.15,1.05,0.997,0.979,0.855,1.01,0.778,0.958,0.653,0.936,1.15,1.03,0.916,1.02,-1.727,-0.718,0.523,0.604,-12.936,-1.456,10.397,1.658,0,0.001,-4.441,0,-0.538,0.675,-15.774,-3.842,9.68,4.864,-3.341,1.274,0.750240295,0.050204581,1.919087804,0.5077026688919412,2.006769045007421,1.6871567799111025,0.5069955621107549,2.2669843404840715,2.3624437559442555,0.900146932
4,K13,sample,SPDL1,correct,Kinetochore,yes,-5.47,0.54,0.19,-3.49,-1.23,-1.34,-2.11,-1.83,3.27,2.82,120.1878808,129.1401286,360,93,48.55555556,46.85483871,0.556512742,0.568772912,34.6,24.49462366,120.4899189,181.1425929,504,329,52.46130952,43.13525836,0.528899408,0.542718057,33.20436508,29.68693009,0.964,0.776,0.461,0.397,0.84,0.879,1.07,1.1,1.03,0.772,0.991,1.06,0.536,0.431,0.891,1.14,1.04,1.02,1.01,0.937,-1.548,-3.594,-2.493,-0.888,-6.082,-1.316,4.247,3.681,0,-4.6,-0.912,0.916,-1.735,-2.772,-4.853,2.406,2.286,1.956,0.388,-2.372,0.5359869401394028,1.3321891757554554,0.4497199128346442,3.1890515831513295,0.869034234,2.63185144,1.3866363979068197,1.2197591975467943,0.27435743110038047,1.5754339084836275
2,O11,sample,NUP160,correct,Nuclear pore,yes,1.51,0.58,-8.5,-7.37,-9.27,-0.4,-2.99,-2.38,3.1,2.34,98.57097777,162.4959214,550,222,58.18,54.93918919,0.526342724,0.528054402,29.36727273,26.22072072,82.23530552,167.4192638,432,696,61.21412037,39.06609195,0.538140532,0.535990264,24.19444444,28.99568966,0.804,0.928,0.683,0.574,1.01,1.06,1.01,1.04,0.822,0.811,0.678,1.01,0.542,0.801,1.03,1.06,1.07,1,0.742,0.913,-7.426,-1.491,-3.233,-2.338,0.976,0.381,0.346,3.411,-6.831,-7.975,-11.119,0.684,-2.755,-2.414,2.045,0.776,5.864,1.277,-10.162,-6.759,0.33799704140716985,0.053740115,2.611345343,1.537957249080741,0.7558971490884193,0.2793071785686863,3.901815218587369,1.5089658710520926,2.355372688,0.8598418459228413
2,O13,sample,NUP85,correct,Nuclear pore,yes,2.15,0.78,-4.38,-5.05,-5.7,-0.12,-0.14,0,1.09,0.32,105.4622866,168.2379353,780,418,58.53076923,57.16507177,0.528498916,0.501699717,33.05897436,29.07894737,98.5088202,160.6462867,824,937,61.93325243,39.69530416,0.51795123,0.532691672,29.47936893,29.80469584,0.86,0.961,0.968,1.08,1.02,1.1,1.01,0.984,0.925,0.9,0.812,0.97,1.03,1.08,1.04,1.08,1.03,0.997,0.904,0.938,-5.051,0.086,-0.676,-0.007,1.551,0.412,0.718,-0.178,-3.452,-4.864,-6.341,-0.329,0.39,-0.002,2.749,1.147,1.456,0.809,-5.31,-5.241,0.7537758287448597,0.003535534,0.9121677477306462,0.2934493141924172,0.8471139238614841,0.5197234841721124,0.5218448045156721,0.6979143930311225,1.3138043994446051,0.2665792565073283
1,I07,sample,DDX21,correct,Nucleolus,yes,-4.33,-2.46,0.03,-3.89,-0.66,1.55,-0.54,-2.14,4.86,4.19,118.308948,185.7355774,422,115,51.37914692,43.66521739,0.553434071,0.579563492,34.02132701,26.26956522,120.450019,182.4692522,578,555,54.79844291,33.43333333,0.529925355,0.551631704,31.94463668,29.64504505,0.965,1.03,0.506,0.332,0.87,0.821,1.08,1.14,1.03,0.816,1.05,1.08,1.66,0.672,0.928,0.903,1.06,1.03,1.03,0.939,-1.993,0.514,-2.936,-1.869,-6.562,-3.6,7.85,6.463,-0.029,-4.652,0.673,2.587,1.847,-2.42,-2.095,-1.328,1.879,1.923,0.084,-3.119,3.382091734415257,0.3896158364337876,1.885146678643336,1.4658323573997132,3.1586459915603076,1.606546606855836,4.222134590464875,3.210264786586926,0.079903066,1.0839946955589772
1,B08,sample,FBL,correct,Nucleolus,yes,-6.14,-2.59,-1.43,-1.71,-3.67,1.2,-1.38,-1.46,7.08,1.54,105.7318511,195.1111573,383,268,48.63707572,44.00559701,0.565605845,0.537097554,29.20887728,30.28358209,96.22131504,177.0522717,400,705,52.49875,36.16950355,0.53170316,0.542710664,29.4375,30.50212766,0.863,1.08,0.459,0.775,0.824,0.827,1.11,1.05,0.888,0.941,0.841,1.05,1.15,0.854,0.889,0.977,1.06,1.01,0.946,0.966,-5.335,1.385,-3.644,-1.097,-9.69,-4.045,11.523,2.834,-2.044,-1.908,-2.003,1.015,0.89,-1.827,-2.593,-1.141,2.646,0.246,-0.821,-1.509,3.206022145899807,0.5161879502661797,2.356079794913576,0.26162950903902266,5.018336826080928,2.053438092565734,6.276986896592983,1.829992349710785,0.8647915933911478,0.2821356056934325
4,M19,sample,MKI67,correct,Nucleolus,yes,-4.19,-2.96,1.61,1.25,0,0.14,-0.64,0.8,3.15,-0.45,123.3337378,180.0430312,837,464,50.34647551,41.24676724,0.546767141,0.48867881,37.29988053,32.72198276,121.8343403,171.4828742,662,727,52.85649547,33.3872077,0.527894226,0.539541554,35.26132931,33.7565337,0.989,1.08,1.07,1.98,0.871,0.774,1.05,0.948,1.11,1.03,1,1.01,0.704,0.952,0.897,0.882,1.04,1.01,1.07,1.07,-0.197,0.611,0.399,1.424,-4.096,-3.518,3.051,-1.975,0.004,-0.059,0.191,-0.321,-1.687,0.183,-4.278,-2.411,3.257,1.074,3.209,2.569,1.4750247455551384,0.8775195154525054,0.27435743110038047,0.6590235200658622,0.1286934341759513,0.7827672067735079,0.14566399692442877,2.155968575837784,2.266277233702885,1.8582766209582469
1,I10,sample,NPM1,correct,Nucleolus,yes,-4.56,-0.31,0.61,-3.57,0.53,0.11,0.35,-2.02,2.27,3.33,124.7538911,150.4208526,912,100,53.62554825,48.14,0.540979226,0.566212224,34.24342105,25.95,120.770657,186.217439,271,532,49.59409594,35.48214286,0.503300854,0.554518343,31.0295203,29.82706767,1.02,0.832,1.09,0.289,0.908,0.905,1.06,1.11,1.04,0.806,1.06,1.1,0.779,0.644,0.84,0.958,1,1.03,0.997,0.945,0.401,-3.206,0.285,-1.741,-4.497,-1.103,5.911,4.657,1.289,-4.975,0.665,3.435,0.416,-2.306,-4.616,0.491,-1.377,2.007,-0.066,-2.173,0.092630988,0.3995153313703993,0.18667619023324855,4.695896133859862,0.084145707,1.1271282092113566,5.153394221287558,1.8738329701443508,0.958129689,1.981313200884706
2,F08,sample,CHAF1A,correct,Replication,yes,4.21,4.84,-0.51,-0.48,6.98,2.55,-1.55,-0.33,-3.71,-1.91,147.4595238,199.8323898,486,392,58.79835391,57.89668367,0.51160400289072006,0.503651526,36.48353909,30.92091837,146.8023372,176.3743333,653,754,64.82465544,43.70159151,0.483659297,0.519690992,31.56967841,31.22148541,1.2,1.14,0.603,1.01,1.02,1.12,0.981,0.988,1.02,0.957,1.21,1.06,0.82,0.868,1.09,1.19,0.957,0.973,0.968,0.983,7.225,2.937,-2.903,0.342,1.853,4.51,-2.571,-0.847,-0.036,-0.841,6.727,2.154,-0.199,-0.998,6.576,5.168,-4.84,-2.974,-0.979,-0.124,1.9120167363284244,0.9475230867899735,0.3521391770309002,0.5536646096690666,3.3396653275440635,0.4652762620207485,1.604425286512276,1.5040161235837868,0.6668016946589143,0.5069955621107546
2,I18,sample,CHAF1B,correct,Replication,yes,4.36,4.66,-1.14,-0.57,3.38,2.57,0.47,-0.3,-3.83,-3.18,135.9388878,186.4205777,730,234,62.35821918,61.31837607,0.503425618,0.500657516,35.13287671,30.34188034,135.0103467,172.6915966,879,816,65.28668942,44.07536765,0.474793029,0.513904117,32.14789534,31.84558824,1.11,1.06,0.906,0.605,1.09,1.19,0.965,0.982,0.983,0.939,1.11,1.04,1.1,0.94,1.1,1.2,0.94,0.962,0.986,1,2.827,2.644,-0.093,-0.28,3.793,4.615,-2.795,-1.607,-1.589,-1.57,3.928,2.495,1.028,-0.314,4.921,4.707,-4.868,-4.748,-0.689,0.433,0.7926667017101198,0.024041631,0.7785245660863888,0.1053589103967956,0.7976164491784257,0.065053824,1.4658323573997132,2.221022399706946,0.6363961030678927,1.4163348827166549
4,B10,sample,MTBP,correct,Replication,yes,4.7,5.03,-2.64,-6.56,8.94,6.06,-1.09,-2.79,-1.72,-0.16,161.3064352,193.9094,560,94,63.94732143,56.89893617,0.506025345,0.541877692,29.90357143,22.84042553,161.1685246,229.6666806,778,362,65.64395887,50.1698895,0.500148474,0.521618135,30.18251928,26.50828729,1.29,1.16,0.717,0.402,1.11,1.07,0.976,1.05,0.889,0.72,1.33,1.35,0.827,0.474,1.11,1.33,0.986,0.981,0.916,0.837,9.265,2.464,-1.18,-1.115,3.801,1.976,-1.63,2.159,-2.128,-5.766,8.621,9.658,-0.994,-4.466,5.607,8.075,-1.813,-2.486,-3.158,-7.356,0.1315218613006978,2.3695148237561208,0.4553767670841367,5.086926183856023,1.277034846822905,4.3126442584567535,0.12940054095713824,3.284510998611513,0.7283199846221439,1.1242997820866103
2,B03,sample,PCNA,correct,Replication,yes,2.82,4.28,-4.28,-4.47,10.76,5.07,-2.18,-3,1.72,-0.23,164.3085359,220.5444818,398,200,62.81155779,58.9,0.508575716,0.510840283,27.34924623,28.635,152.0511583,185.3848214,566,677,64.37014134,45.29911374,0.522942969,0.528501613,26.72261484,30.28212703,1.34,1.26,0.494,0.517,1.09,1.14,0.975,1,0.765,0.886,1.25,1.12,0.711,0.78,1.09,1.23,1.04,0.989,0.819,0.953,13.09,5.036,-3.158,-2.929,1.53,2.846,-0.215,0.958,-2.339,-4.824,8.435,5.113,-1.192,-3.073,4.116,5.715,3.649,-1.423,-6.229,-4.112,1.3901719318127523,0.10182337649086293,3.2915820664233784,0.054447222,1.8285781361484117,2.0286893552242047,2.732260603,1.6836212460051698,2.750645379,0.5034600282048216
